Celebrity,Total Duration (s)
Barack Obama,13285.82800000001
Donald Trump,11723.674000000015
Bernie Sanders,6476.3700000000035
Alec Guinness,5719.857000000011
Ayn Rand,5097.460999999998
Bill Clinton,3194.233999999998
Christopher Hitchens,3119.7749999999974
Mark Zuckerberg,2068.5010000000007
Ronald Reagan,2063.536
Winston Churchill,1706.1799999999994
Martin Luther King,1671.675
Alexandria Ocasio-Cortez,1354.3120000000004
Milton Friedman,1276.04
JFK,1150.0319999999997
Louis Farrakhan,1036.4940000000001
FDR,1030.1040000000012
Arnold Schwarzenegger,895.7729999999997
Bill Burr,853.0480000000001
Boris Johnson,851.9320000000008
George Carlin,845.6499999999996
Richard Nixon,749.8119999999997
Queen Elizabeth II,627.5319999999999
Dwight Eisenhower,619.3120000000001
Malcolm X,597.9839999999998
Nick Offerman,572.2700000000001
Adam Driver,497.00500000000005
Gilbert Gottfried,476.68399999999974
John Cleese,433.4299999999999
Robert Kardashian,350.775
Bob Ross,326.06999999999994
Kanye West,313.62399999999997
Jeff Goldblum,308.275
Alan Watts,303.05699999999996
Lyndon Johnson,299.1190000000001
2Pac,285.38800000000003
Nelson Mandela,278.07200000000006
George W. Bush,235.68400000000005
Harry Truman,228.154
Calvin Coolidge,219.61400000000006
Tucker Carlson,216.63300000000007
Norm MacDonald,207.638
Scarlett Johansson,200.285
Mr. Rogers,140.87500000000003
Kamala Harris,126.20400000000001
Orson Welles,105.63900000000001
Frank Sinatra,90.259
Dave Chappelle,87.49100000000001
Billie Eilish,71.995
The Notorious B.I.G.,67.29100000000001
Louis C.K.,66.27900000000001
Jerry Seinfeld,65.905
Jimmy Carter,63.666
William F. Buckley,35.422
Mitch Hedberg,33.0
